geo_code,time,value,type
AT,2012,18.62,PC_UAA
AT,2013,18.4,PC_UAA
AT,2014,19.35,PC_UAA
AT,2015,20.3,PC_UAA
AT,2016,21.25,PC_UAA
AT,2017,23.37,PC_UAA
AT,2018,24.08,PC_UAA
BE,2012,4.48,PC_UAA
BE,2013,4.67,PC_UAA
BE,2014,5.0,PC_UAA
BE,2015,5.17,PC_UAA
BE,2016,5.8,PC_UAA
BE,2017,6.28,PC_UAA
BE,2018,6.56,PC_UAA
BG,2012,0.76,PC_UAA
BG,2013,1.13,PC_UAA
BG,2014,0.96,PC_UAA
BG,2015,2.37,PC_UAA
BG,2016,3.2,PC_UAA
BG,2017,2.72,PC_UAA
BG,2018,2.56,PC_UAA
CY,2012,3.38,PC_UAA
CY,2013,4.03,PC_UAA
CY,2014,3.63,PC_UAA
CY,2015,3.72,PC_UAA
CY,2016,4.94,PC_UAA
CY,2017,4.61,PC_UAA
CY,2018,4.55,PC_UAA
CZ,2012,13.29,PC_UAA
CZ,2013,13.47,PC_UAA
CZ,2014,13.44,PC_UAA
CZ,2015,13.68,PC_UAA
CZ,2016,14.0,PC_UAA
CZ,2017,14.09,PC_UAA
CZ,2018,14.76,PC_UAA
DE,2012,5.76,PC_UAA
DE,2013,6.04,PC_UAA
DE,2014,6.18,PC_UAA
DE,2015,6.34,PC_UAA
DE,2016,6.82,PC_UAA
DE,2017,6.82,PC_UAA
DE,2018,7.34,PC_UAA
DK,2012,7.31,PC_UAA
DK,2013,6.44,PC_UAA
DK,2014,6.25,PC_UAA
DK,2015,6.33,PC_UAA
DK,2016,7.81,PC_UAA
DK,2017,8.6,PC_UAA
DK,2018,9.75,PC_UAA
EE,2012,14.86,PC_UAA
EE,2013,15.65,PC_UAA
EE,2014,15.96,PC_UAA
EE,2015,15.68,PC_UAA
EE,2016,18.02,PC_UAA
EE,2017,20.01,PC_UAA
EE,2018,20.98,PC_UAA
EL,2012,9.01,PC_UAA
EL,2013,7.36,PC_UAA
EL,2014,6.71,PC_UAA
EL,2015,7.69,PC_UAA
EL,2016,6.51,PC_UAA
EL,2017,7.96,PC_UAA
EL,2018,9.32,PC_UAA
ES,2012,7.49,PC_UAA
ES,2013,6.85,PC_UAA
ES,2014,7.26,PC_UAA
ES,2015,8.24,PC_UAA
ES,2016,8.48,PC_UAA
ES,2017,8.73,PC_UAA
ES,2018,9.28,PC_UAA
EU27_2020,2012,5.88,PC_UAA
EU27_2020,2013,5.91,PC_UAA
EU27_2020,2014,6.08,PC_UAA
EU27_2020,2015,6.56,PC_UAA
EU27_2020,2016,7.09,PC_UAA
EU27_2020,2017,7.48,PC_UAA
EU27_2020,2018,8.03,PC_UAA
EU28,2012,5.64,PC_UAA
EU28,2013,5.7,PC_UAA
EU28,2014,5.78,PC_UAA
EU28,2015,6.2,PC_UAA
EU28,2016,6.68,PC_UAA
EU28,2017,7.03,PC_UAA
EU28,2018,7.5,PC_UAA
FI,2012,8.65,PC_UAA
FI,2013,9.07,PC_UAA
FI,2014,9.29,PC_UAA
FI,2015,9.91,PC_UAA
FI,2016,10.47,PC_UAA
FI,2017,11.41,PC_UAA
FI,2018,13.09,PC_UAA
FR,2012,3.55,PC_UAA
FR,2013,3.66,PC_UAA
FR,2014,3.87,PC_UAA
FR,2015,4.54,PC_UAA
FR,2016,5.29,PC_UAA
FR,2017,5.99,PC_UAA
FR,2018,7.01,PC_UAA
HR,2012,2.4,PC_UAA
HR,2013,3.13,PC_UAA
HR,2014,4.03,PC_UAA
HR,2015,4.94,PC_UAA
HR,2016,6.05,PC_UAA
HR,2017,6.46,PC_UAA
HR,2018,6.94,PC_UAA
HU,2012,2.45,PC_UAA
HU,2013,2.45,PC_UAA
HU,2014,2.34,PC_UAA
HU,2015,2.43,PC_UAA
HU,2016,3.48,PC_UAA
HU,2017,3.73,PC_UAA
HU,2018,3.92,PC_UAA
IE,2012,1.16,PC_UAA
IE,2013,1.2,PC_UAA
IE,2014,1.16,PC_UAA
IE,2015,1.65,PC_UAA
IE,2016,1.72,PC_UAA
IE,2017,1.66,PC_UAA
IE,2018,2.63,PC_UAA
IT,2012,9.3,PC_UAA
IT,2013,10.6,PC_UAA
IT,2014,10.91,PC_UAA
IT,2015,11.79,PC_UAA
IT,2016,13.99,PC_UAA
IT,2017,14.67,PC_UAA
IT,2018,15.17,PC_UAA
LT,2012,5.51,PC_UAA
LT,2013,5.74,PC_UAA
LT,2014,5.57,PC_UAA
LT,2015,7.11,PC_UAA
LT,2016,7.5,PC_UAA
LT,2017,7.98,PC_UAA
LT,2018,8.13,PC_UAA
LU,2012,3.14,PC_UAA
LU,2013,3.39,PC_UAA
LU,2014,3.43,PC_UAA
LU,2015,3.21,PC_UAA
LU,2016,3.47,PC_UAA
LU,2017,4.15,PC_UAA
LU,2018,4.39,PC_UAA
LV,2012,10.63,PC_UAA
LV,2013,9.89,PC_UAA
LV,2014,10.86,PC_UAA
LV,2015,12.29,PC_UAA
LV,2016,13.42,PC_UAA
LV,2017,13.92,PC_UAA
LV,2018,14.47,PC_UAA
MT,2012,0.32,PC_UAA
MT,2013,0.06,PC_UAA
MT,2014,0.29,PC_UAA
MT,2015,0.25,PC_UAA
MT,2016,0.21,PC_UAA
MT,2017,0.35,PC_UAA
MT,2018,0.41,PC_UAA
NL,2012,2.61,PC_UAA
NL,2013,2.65,PC_UAA
NL,2014,2.67,PC_UAA
NL,2015,2.67,PC_UAA
NL,2016,3.03,PC_UAA
NL,2017,3.31,PC_UAA
NL,2018,3.5,PC_UAA
PL,2012,4.51,PC_UAA
PL,2013,4.65,PC_UAA
PL,2014,4.56,PC_UAA
PL,2015,4.03,PC_UAA
PL,2016,3.72,PC_UAA
PL,2017,3.41,PC_UAA
PL,2018,3.33,PC_UAA
PT,2012,5.48,PC_UAA
PT,2013,5.31,PC_UAA
PT,2014,5.74,PC_UAA
PT,2015,6.53,PC_UAA
PT,2016,6.74,PC_UAA
PT,2017,7.04,PC_UAA
PT,2018,5.93,PC_UAA
RO,2012,2.1,PC_UAA
RO,2013,2.06,PC_UAA
RO,2014,2.09,PC_UAA
RO,2015,1.77,PC_UAA
RO,2016,1.67,PC_UAA
RO,2017,1.93,PC_UAA
RO,2018,2.43,PC_UAA
SE,2012,15.76,PC_UAA
SE,2013,16.5,PC_UAA
SE,2014,16.53,PC_UAA
SE,2015,17.14,PC_UAA
SE,2016,18.3,PC_UAA
SE,2017,19.16,PC_UAA
SE,2018,20.29,PC_UAA
SI,2012,7.32,PC_UAA
SI,2013,8.07,PC_UAA
SI,2014,8.55,PC_UAA
SI,2015,8.85,PC_UAA
SI,2016,9.12,PC_UAA
SI,2017,9.6,PC_UAA
SI,2018,10.01,PC_UAA
SK,2012,8.53,PC_UAA
SK,2013,8.18,PC_UAA
SK,2014,9.37,PC_UAA
SK,2015,9.47,PC_UAA
SK,2016,9.75,PC_UAA
SK,2017,9.9,PC_UAA
SK,2018,9.85,PC_UAA
UK,2012,3.41,PC_UAA
UK,2013,3.24,PC_UAA
UK,2014,3.02,PC_UAA
UK,2015,2.89,PC_UAA
UK,2016,2.82,PC_UAA
UK,2017,2.85,PC_UAA
UK,2018,2.64,PC_UAA
