geo_code,time,value,type
AT,2000,1.11,PC
AT,2001,1.19,PC
AT,2002,0.98,PC
AT,2003,1.43,PC
AT,2004,1.3,PC
AT,2005,1.33,PC
AT,2006,1.32,PC
AT,2007,1.5,PC
AT,2008,1.36,PC
AT,2009,1.26,PC
AT,2010,1.4,PC
AT,2011,1.62,PC
AT,2012,1.31,PC
AT,2013,1.21,PC
AT,2014,1.43,PC
AT,2015,1.92,PC
AT,2016,1.7,PC
AT,2017,1.78,PC
AT,2017,1.78,PC
BE,2000,6.12,PC
BE,2001,5.09,PC
BE,2002,5.2,PC
BE,2003,5.89,PC
BE,2004,6.02,PC
BE,2005,6.36,PC
BE,2006,5.95,PC
BE,2007,3.21,PC
BE,2008,3.8,PC
BE,2009,4.33,PC
BE,2010,7.05,PC
BE,2011,7.9,PC
BE,2012,5.3,PC
BE,2013,5.11,PC
BE,2014,5.74,PC
BE,2015,5.44,PC
BE,2016,4.44,PC
BE,2017,7.31,PC
BE,2017,7.31,PC
BG,2000,1.68,PC
BG,2001,1.59,PC
BG,2002,1.75,PC
BG,2003,2.21,PC
BG,2004,1.55,PC
BG,2005,1.37,PC
BG,2006,1.57,PC
BG,2007,2.05,PC
BG,2008,1.92,PC
BG,2009,1.64,PC
BG,2010,1.13,PC
BG,2011,2.04,PC
BG,2012,1.76,PC
BG,2013,1.27,PC
BG,2014,1.09,PC
BG,2015,1.35,PC
BG,2016,1.53,PC
BG,2017,1.78,PC
BG,2017,1.78,PC
CY,2000,73.51,PC
CY,2001,93.26,PC
CY,2002,94.34,PC
CY,2003,92.47,PC
CY,2004,94.67,PC
CY,2005,87.91,PC
CY,2006,78.55,PC
CY,2007,78.51,PC
CY,2008,77.45,PC
CY,2009,74.37,PC
CY,2010,,PC
CY,2011,76.82,PC
CY,2012,78.35,PC
CY,2013,79.28,PC
CY,2014,78.29,PC
CY,2015,79.41,PC
CY,2016,74.88,PC
CY,2017,70.3,PC
CY,2017,70.3,PC
CZ,2000,17.17,PC
CZ,2001,13.14,PC
CZ,2002,7.46,PC
CZ,2003,13.71,PC
CZ,2004,11.16,PC
CZ,2005,8.99,PC
CZ,2006,7.96,PC
CZ,2007,9.99,PC
CZ,2008,11.5,PC
CZ,2009,8.39,PC
CZ,2010,5.31,PC
CZ,2011,8.27,PC
CZ,2012,9.63,PC
CZ,2013,6.04,PC
CZ,2014,26.12,PC
CZ,2015,17.07,PC
