"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value","Flag and Footnotes"
"2009","Latvia","Pure biogasoline","Production capacity","Thousand tonnes per year","28.361",""
"2009","Latvia","Pure biodiesels","Production capacity","Thousand tonnes per year","175.321",""
"2009","Latvia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Latvia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Lithuania","Pure biogasoline","Production capacity","Thousand tonnes per year","60.000",""
"2009","Lithuania","Pure biodiesels","Production capacity","Thousand tonnes per year","150.000",""
"2009","Lithuania","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Lithuania","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Hungary","Pure biogasoline","Production capacity","Thousand tonnes per year","140.000",""
"2009","Hungary","Pure biodiesels","Production capacity","Thousand tonnes per year","189.000",""
"2009","Hungary","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Hungary","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Malta","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","Malta","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Malta","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Malta","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Netherlands","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","Netherlands","Pure biodiesels","Production capacity","Thousand tonnes per year","1,323.000",""
"2009","Netherlands","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Netherlands","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Austria","Pure biogasoline","Production capacity","Thousand tonnes per year","191.000",""
"2009","Austria","Pure biodiesels","Production capacity","Thousand tonnes per year","655.000",""
"2009","Austria","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Austria","Other liquid biofuels","Production capacity","Thousand tonnes per year","655.000",""
"2009","Poland","Pure biogasoline","Production capacity","Thousand tonnes per year","564.000",""
"2009","Poland","Pure biodiesels","Production capacity","Thousand tonnes per year","628.000",""
"2009","Poland","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Poland","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Portugal","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","Portugal","Pure biodiesels","Production capacity","Thousand tonnes per year","630.342",""
"2009","Portugal","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Portugal","Other liquid biofuels","Production capacity","Thousand tonnes per year","12.658",""
"2009","Romania","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","Romania","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Romania","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Romania","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Slovenia","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","Slovenia","Pure biodiesels","Production capacity","Thousand tonnes per year","25.000",""
"2009","Slovenia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Slovenia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Slovakia","Pure biogasoline","Production capacity","Thousand tonnes per year","95.000",""
"2009","Slovakia","Pure biodiesels","Production capacity","Thousand tonnes per year","176.000",""
"2009","Slovakia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Slovakia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Finland","Pure biogasoline","Production capacity","Thousand tonnes per year","3.200",""
"2009","Finland","Pure biodiesels","Production capacity","Thousand tonnes per year","380.000",""
"2009","Finland","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Finland","Other liquid biofuels","Production capacity","Thousand tonnes per year","20.000",""
"2009","Sweden","Pure biogasoline","Production capacity","Thousand tonnes per year","133.881",""
"2009","Sweden","Pure biodiesels","Production capacity","Thousand tonnes per year","118.325",""
"2009","Sweden","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Sweden","Other liquid biofuels","Production capacity","Thousand tonnes per year","205.309",""
"2009","Iceland","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","Iceland","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Iceland","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Iceland","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Norway","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","Norway","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Norway","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Norway","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","United Kingdom","Pure biogasoline","Production capacity","Thousand tonnes per year","59.550",""
"2009","United Kingdom","Pure biodiesels","Production capacity","Thousand tonnes per year","676.400",""
"2009","United Kingdom","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","United Kingdom","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","North Macedonia","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","North Macedonia","Pure biodiesels","Production capacity","Thousand tonnes per year","20.000",""
"2009","North Macedonia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","North Macedonia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Turkey","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","Turkey","Pure biodiesels","Production capacity","Thousand tonnes per year","918.199",""
"2009","Turkey","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Turkey","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","European Union - 27 countries (from 2020)","Pure biogasoline","Production capacity","Thousand tonnes per year","4,456.962",""
"2010","European Union - 27 countries (from 2020)","Pure biodiesels","Production capacity","Thousand tonnes per year","20,899.870",""
"2010","European Union - 27 countries (from 2020)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","European Union - 27 countries (from 2020)","Other liquid biofuels","Production capacity","Thousand tonnes per year","4,331.959",""
"2010","European Union - 28 countries (2013-2020)","Pure biogasoline","Production capacity","Thousand tonnes per year","4,831.730",""
"2010","European Union - 28 countries (2013-2020)","Pure biodiesels","Production capacity","Thousand tonnes per year","21,407.170",""
"2010","European Union - 28 countries (2013-2020)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","European Union - 28 countries (2013-2020)","Other liquid biofuels","Production capacity","Thousand tonnes per year","4,331.959",""
"2010","Euro area - 19 countries  (from 2015)","Pure biogasoline","Production capacity","Thousand tonnes per year","3,436.156",""
"2010","Euro area - 19 countries  (from 2015)","Pure biodiesels","Production capacity","Thousand tonnes per year","19,064.659",""
