geo_code,time,value,type
EU28,1990,68.0,felling_rates
EU28,2000,74.0,felling_rates
EU28,2005,75.0,felling_rates
EU28,2010,73.0,felling_rates
AT,1990,75.3,felling_rates
AT,2000,60.5,felling_rates
AT,2005,93.5,felling_rates
AT,2010,93.5,felling_rates
BE,1990,89.2,felling_rates
BE,2000,76.9,felling_rates
BE,2005,93.3,felling_rates
BE,2010,84.3,felling_rates
BG,1990,34.9,felling_rates
BG,2000,27.7,felling_rates
BG,2005,49.3,felling_rates
BG,2010,48.5,felling_rates
HR,1990,59.3,felling_rates
HR,2000,52.9,felling_rates
HR,2005,59.1,felling_rates
HR,2010,67.0,felling_rates
CY,1990,110.8,felling_rates
CY,2000,57.6,felling_rates
CY,2005,26.0,felling_rates
CY,2010,19.9,felling_rates
CZ,1990,68.0,felling_rates
CZ,2000,75.6,felling_rates
CZ,2005,84.4,felling_rates
CZ,2010,85.2,felling_rates
DK,1990,100.3,felling_rates
DK,2000,100.5,felling_rates
DK,2005,101.0,felling_rates
DK,2010,62.7,felling_rates
EE,1990,35.8,felling_rates
EE,2000,105.5,felling_rates
EE,2005,58.6,felling_rates
EE,2010,63.7,felling_rates
FI,1990,72.4,felling_rates
FI,2000,85.9,felling_rates
FI,2005,77.1,felling_rates
FI,2010,73.0,felling_rates
FR,1990,,felling_rates
FR,2000,,felling_rates
FR,2005,,felling_rates
FR,2010,47.3,felling_rates
DE,1990,,felling_rates
DE,2000,76.8,felling_rates
DE,2005,79.1,felling_rates
DE,2010,80.3,felling_rates
EL,1990,81.5,felling_rates
EL,2000,,felling_rates
EL,2005,,felling_rates
EL,2010,,felling_rates
HU,1990,72.6,felling_rates
HU,2000,83.8,felling_rates
HU,2005,71.4,felling_rates
HU,2010,76.2,felling_rates
IE,1990,,felling_rates
IE,2000,,felling_rates
IE,2005,,felling_rates
IE,2010,52.5,felling_rates
IT,1990,48.0,felling_rates
IT,2000,47.5,felling_rates
IT,2005,42.4,felling_rates
IT,2010,39.2,felling_rates
LV,1990,32.1,felling_rates
LV,2000,87.8,felling_rates
LV,2005,,felling_rates
LV,2010,65.2,felling_rates
LT,1990,,felling_rates
LT,2000,,felling_rates
LT,2005,87.4,felling_rates
LT,2010,78.3,felling_rates
LU,1990,,felling_rates
LU,2000,,felling_rates
LU,2005,,felling_rates
LU,2010,,felling_rates
MT,1990,,felling_rates
MT,2000,,felling_rates
MT,2005,,felling_rates
MT,2010,,felling_rates
NL,1990,58.0,felling_rates
NL,2000,60.8,felling_rates
NL,2005,48.0,felling_rates
NL,2010,47.3,felling_rates
PL,1990,,felling_rates
PL,2000,,felling_rates
PL,2005,,felling_rates
PL,2010,74.8,felling_rates
PT,1990,74.6,felling_rates
PT,2000,66.4,felling_rates
PT,2005,75.4,felling_rates
PT,2010,,felling_rates
RO,1990,54.0,felling_rates
RO,2000,49.3,felling_rates
RO,2005,57.4,felling_rates
RO,2010,60.2,felling_rates
SK,1990,53.7,felling_rates
SK,2000,56.9,felling_rates
SK,2005,70.8,felling_rates
SK,2010,77.4,felling_rates
SI,1990,34.8,felling_rates
SI,2000,34.7,felling_rates
SI,2005,39.2,felling_rates
SI,2010,37.1,felling_rates
ES,1990,61.8,felling_rates
ES,2000,52.6,felling_rates
ES,2005,51.4,felling_rates
ES,2010,55.5,felling_rates
SE,1990,,felling_rates
SE,2000,,felling_rates
SE,2005,118.3,felling_rates
SE,2010,101.8,felling_rates
UK,1990,40.9,felling_rates
UK,2000,45.9,felling_rates
UK,2005,48.0,felling_rates
UK,2010,50.5,felling_rates
