geo_code,time,value,type
AT,2001,91.17,I10
AT,2002,84.65,I10
AT,2003,84.17,I10
AT,2004,88.9,I10
AT,2005,88.21,I10
AT,2006,98.84,I10
AT,2007,110.99,I10
AT,2008,108.31,I10
AT,2009,84.16,I10
AT,2010,100.0,I10
AT,2011,114.12,I10
AT,2012,107.33,I10
AT,2013,95.05,I10
AT,2014,89.0,I10
AT,2015,84.29,I10
AT,2016,94.97,I10
AT,2017,106.07,I10
AT,2018,100.29,I10
AT,2019,94.69,I10
BE,2001,81.28,I10
BE,2002,71.97,I10
BE,2003,78.32,I10
BE,2004,82.29,I10
BE,2005,75.18,I10
BE,2006,92.64,I10
BE,2007,100.13,I10
BE,2008,80.95,I10
BE,2009,76.94,I10
BE,2010,100.0,I10
BE,2011,89.34,I10
BE,2012,109.4,I10
BE,2013,87.67,I10
BE,2014,83.71,I10
BE,2015,92.74,I10
BE,2016,82.49,I10
BE,2017,88.98,I10
BE,2018,79.1,I10
BE,2019,89.88,I10
BG,2001,95.99,I10
BG,2002,77.68,I10
BG,2003,72.72,I10
BG,2004,78.59,I10
BG,2005,81.56,I10
BG,2006,79.16,I10
BG,2007,79.29,I10
BG,2008,128.14,I10
BG,2009,89.85,I10
BG,2010,100.0,I10
BG,2011,115.64,I10
BG,2012,133.37,I10
BG,2013,162.01,I10
BG,2014,173.46,I10
BG,2015,158.97,I10
BG,2016,189.45,I10
BG,2017,223.76,I10
BG,2018,221.89,I10
BG,2019,253.16,I10
CY,2001,113.26,I10
CY,2002,115.7,I10
CY,2003,106.21,I10
CY,2004,104.45,I10
CY,2005,108.5,I10
CY,2006,97.96,I10
CY,2007,98.26,I10
CY,2008,93.44,I10
CY,2009,100.33,I10
CY,2010,100.0,I10
CY,2011,74.93,I10
CY,2012,103.56,I10
CY,2013,102.59,I10
CY,2014,94.84,I10
CY,2015,122.73,I10
CY,2016,122.82,I10
CY,2017,123.38,I10
CY,2018,118.58,I10
CY,2019,121.64,I10
CZ,2001,60.62,I10
CZ,2002,48.11,I10
CZ,2003,49.5,I10
CZ,2004,78.16,I10
CZ,2005,80.71,I10
CZ,2006,84.77,I10
CZ,2007,95.7,I10
CZ,2008,103.93,I10
CZ,2009,84.83,I10
CZ,2010,100.0,I10
CZ,2011,134.84,I10
CZ,2012,133.73,I10
CZ,2013,135.08,I10
CZ,2014,155.37,I10
CZ,2015,137.98,I10
CZ,2016,155.74,I10
CZ,2017,151.09,I10
CZ,2018,144.75,I10
CZ,2019,150.93,I10
DE,2001,78.88,I10
DE,2002,57.56,I10
DE,2003,52.54,I10
DE,2004,78.01,I10
DE,2005,69.41,I10
DE,2006,74.26,I10
DE,2007,91.49,I10
DE,2008,98.3,I10
DE,2009,66.77,I10
DE,2010,100.0,I10
DE,2011,118.14,I10
DE,2012,105.61,I10
DE,2013,122.84,I10
DE,2014,116.96,I10
DE,2015,76.65,I10
DE,2016,80.77,I10
DE,2017,108.79,I10
DE,2018,79.42,I10
DE,2019,117.51,I10
DK,2001,107.4,I10
DK,2002,76.08,I10
DK,2003,74.56,I10
DK,2004,84.1,I10
DK,2005,85.11,I10
DK,2006,96.02,I10
DK,2007,96.8,I10
DK,2008,55.49,I10
DK,2009,56.72,I10
DK,2010,100.0,I10
DK,2011,112.38,I10
DK,2012,153.5,I10
DK,2013,106.69,I10
DK,2014,109.21,I10
DK,2015,69.52,I10
DK,2016,67.08,I10
DK,2017,106.01,I10
DK,2018,79.61,I10
DK,2019,134.85,I10
EE,2001,37.12,I10
EE,2002,36.01,I10
EE,2003,40.34,I10
EE,2004,64.58,I10
EE,2005,67.3,I10
EE,2006,66.72,I10
EE,2007,91.47,I10
EE,2008,71.05,I10
EE,2009,60.64,I10
EE,2010,100.0,I10
EE,2011,124.39,I10
EE,2012,143.43,I10
EE,2013,132.74,I10
EE,2014,123.76,I10
EE,2015,100.41,I10
EE,2016,63.04,I10
EE,2017,106.32,I10
EE,2018,82.19,I10
EE,2019,108.91,I10
EL,2001,98.28,I10
EL,2002,96.06,I10
EL,2003,86.65,I10
EL,2004,84.61,I10
EL,2005,82.32,I10
EL,2006,78.71,I10
EL,2007,84.55,I10
EL,2008,84.59,I10
EL,2009,96.7,I10
EL,2010,100.0,I10
EL,2011,89.07,I10
EL,2012,91.51,I10
EL,2013,84.21,I10
EL,2014,89.9,I10
EL,2015,96.32,I10
EL,2016,85.67,I10
EL,2017,98.35,I10
EL,2018,96.9,I10
EL,2019,106.74,I10
ES,2001,114.82,I10
ES,2002,111.44,I10
ES,2003,126.26,I10
ES,2004,116.3,I10
ES,2005,102.88,I10
ES,2006,98.43,I10
ES,2007,110.5,I10
ES,2008,93.84,I10
ES,2009,94.27,I10
ES,2010,100.0,I10
ES,2011,101.19,I10
ES,2012,102.74,I10
ES,2013,112.88,I10
ES,2014,118.57,I10
ES,2015,125.24,I10
ES,2016,135.84,I10
ES,2017,134.51,I10
ES,2018,132.14,I10
ES,2019,127.94,I10
EU27_2020,2001,,I10
EU27_2020,2002,,I10
EU27_2020,2003,,I10
EU27_2020,2004,,I10
EU27_2020,2005,80.79,I10
EU27_2020,2006,83.61,I10
EU27_2020,2007,92.37,I10
EU27_2020,2008,88.73,I10
EU27_2020,2009,79.28,I10
EU27_2020,2010,100.0,I10
EU27_2020,2011,108.28,I10
EU27_2020,2012,107.27,I10
EU27_2020,2013,111.25,I10
EU27_2020,2014,112.6,I10
EU27_2020,2015,109.68,I10
EU27_2020,2016,111.7,I10
EU27_2020,2017,125.22,I10
EU27_2020,2018,123.71,I10
EU27_2020,2019,129.32,I10
EU28,2001,,I10
EU28,2002,,I10
EU28,2003,,I10
EU28,2004,,I10
EU28,2005,80.2,I10
EU28,2006,82.83,I10
EU28,2007,91.29,I10
EU28,2008,89.08,I10
EU28,2009,80.41,I10
EU28,2010,100.0,I10
EU28,2011,108.97,I10
EU28,2012,107.65,I10
EU28,2013,111.95,I10
EU28,2014,113.18,I10
EU28,2015,109.37,I10
EU28,2016,111.13,I10
EU28,2017,125.27,I10
EU28,2018,123.09,I10
EU28,2019,128.72,I10
FI,2001,79.84,I10
FI,2002,77.87,I10
FI,2003,75.01,I10
FI,2004,74.68,I10
FI,2005,80.83,I10
FI,2006,79.77,I10
FI,2007,91.99,I10
FI,2008,80.2,I10
FI,2009,90.85,I10
FI,2010,100.0,I10
FI,2011,86.38,I10
FI,2012,88.29,I10
FI,2013,86.21,I10
FI,2014,83.02,I10
FI,2015,67.92,I10
FI,2016,76.41,I10
FI,2017,80.86,I10
FI,2018,80.6,I10
FI,2019,90.36,I10
FR,2001,86.44,I10
FR,2002,86.03,I10
FR,2003,84.66,I10
FR,2004,85.25,I10
FR,2005,79.59,I10
FR,2006,88.28,I10
FR,2007,99.45,I10
FR,2008,85.85,I10
FR,2009,70.8,I10
FR,2010,100.0,I10
FR,2011,104.58,I10
FR,2012,105.27,I10
FR,2013,89.54,I10
FR,2014,101.83,I10
FR,2015,107.16,I10
FR,2016,93.42,I10
FR,2017,108.85,I10
FR,2018,123.95,I10
FR,2019,115.99,I10
HR,2001,,I10
HR,2002,,I10
HR,2003,,I10
HR,2004,,I10
HR,2005,82.82,I10
HR,2006,96.42,I10
HR,2007,99.68,I10
HR,2008,114.63,I10
HR,2009,109.34,I10
HR,2010,100.0,I10
HR,2011,95.5,I10
HR,2012,81.72,I10
HR,2013,90.47,I10
HR,2014,78.28,I10
HR,2015,105.76,I10
HR,2016,117.67,I10
HR,2017,117.8,I10
HR,2018,125.29,I10
HR,2019,132.33,I10
HU,2001,66.81,I10
HU,2002,53.08,I10
HU,2003,54.73,I10
HU,2004,82.95,I10
HU,2005,83.62,I10
HU,2006,89.55,I10
HU,2007,95.75,I10
HU,2008,125.5,I10
HU,2009,85.0,I10
HU,2010,100.0,I10
HU,2011,149.33,I10
HU,2012,137.9,I10
