geo_code,time,value,type,value_share_calculated
DK,2015,1233.0,ANI,0.36894075403949733
DK,2016,1266.0,ANI,0.37589073634204273
EE,2000,809.0,ANI,0.26524590163934425
EE,2001,783.0,ANI,0.25705843729481287
EE,2002,888.0,ANI,0.29181728557344727
EE,2003,893.0,ANI,0.29050097592713076
EE,2004,830.0,ANI,0.2694805194805195
EE,2005,815.0,ANI,0.2573413324913167
EE,2006,833.0,ANI,0.2600686856072432
EE,2007,808.0,ANI,0.25077591558038487
EE,2008,827.0,ANI,0.24962269846060972
EE,2009,849.0,ANI,0.253584229390681
EE,2010,825.0,ANI,0.24924471299093656
EE,2011,822.0,ANI,0.24992398905442384
EE,2012,814.0,ANI,0.25185643564356436
EE,2013,801.0,ANI,0.24623424531201968
EE,2014,920.0,ANI,0.2866043613707165
EE,2015,1043.0,ANI,0.32891832229580575
EE,2016,1062.0,ANI,0.33800127307447486
EL,2000,870.0,ANI,0.24153248195446975
EL,2001,820.0,ANI,0.22689540675152187
EL,2002,807.0,ANI,0.22176422093981862
EL,2003,850.0,ANI,0.2328129279649411
EL,2004,831.0,ANI,0.22344716321591826
EL,2005,839.0,ANI,0.23350960200389648
EL,2006,866.0,ANI,0.248493543758967
EL,2007,876.0,ANI,0.24950156650526917
EL,2008,842.0,ANI,0.2392725206024439
EL,2009,875.0,ANI,0.24964336661911554
EL,2010,887.0,ANI,0.25769901220220803
EL,2011,849.0,ANI,0.24773854683396557
EL,2012,803.0,ANI,0.23589894242068155
EL,2013,802.0,ANI,0.23588235294117646
EL,2014,818.0,ANI,0.23785984297760976
EL,2015,784.0,ANI,0.2308598351001178
EL,2016,776.0,ANI,0.23261390887290168
ES,2000,949.0,ANI,0.2824404761904762
ES,2001,950.0,ANI,0.2851140456182473
ES,2002,970.0,ANI,0.28877642155403394
ES,2003,959.0,ANI,0.2908704883227176
ES,2004,924.0,ANI,0.2846580406654344
ES,2005,902.0,ANI,0.28012422360248446
ES,2006,910.0,ANI,0.28199566160520606
ES,2007,930.0,ANI,0.28855103940428173
ES,2008,859.0,ANI,0.26776807980049877
ES,2009,857.0,ANI,0.26739469578783154
ES,2010,852.0,ANI,0.26767200754005654
ES,2011,835.0,ANI,0.2615914786967419
ES,2012,824.0,ANI,0.259691144027734
ES,2013,819.0,ANI,0.2580340264650284
ES,2014,848.0,ANI,0.2680999051533354
ES,2015,871.0,ANI,0.27261345852895147
ES,2016,873.0,ANI,0.2666463042150275
EU27_2020,2000,1010.0,ANI,0.29740871613663133
EU27_2020,2001,1017.0,ANI,0.2978038067349927
EU27_2020,2002,1032.0,ANI,0.3002618562700029
EU27_2020,2003,1018.0,ANI,0.2988843217850851
EU27_2020,2004,998.0,ANI,0.29284037558685444
EU27_2020,2005,1001.0,ANI,0.29406580493537016
EU27_2020,2006,999.0,ANI,0.2928759894459103
EU27_2020,2007,1006.0,ANI,0.2947553472018752
EU27_2020,2008,999.0,ANI,0.2921906990348055
EU27_2020,2009,997.0,ANI,0.29160573267037143
EU27_2020,2010,994.0,ANI,0.2917522747285001
EU27_2020,2011,989.0,ANI,0.28968951376684243
EU27_2020,2012,979.0,ANI,0.28836524300441824
EU27_2020,2013,978.0,ANI,0.28714034057545507
EU27_2020,2014,978.0,ANI,0.2887511071744907
EU27_2020,2015,992.0,ANI,0.29133627019089575
EU27_2020,2016,996.0,ANI,0.2903790087463557
EU28,2000,1007.0,ANI,0.29696254792096727
EU28,2001,1015.0,ANI,0.2973923234690888
EU28,2002,1029.0,ANI,0.2996505532906232
EU28,2003,1021.0,ANI,0.2997651203758074
EU28,2004,1003.0,ANI,0.29387635511280397
EU28,2005,1007.0,ANI,0.2953945438545028
EU28,2006,1005.0,ANI,0.29428989751098095
EU28,2007,1009.0,ANI,0.2955477445811365
EU28,2008,997.0,ANI,0.2915204678362573
EU28,2009,996.0,ANI,0.29131324948815446
EU28,2010,995.0,ANI,0.2919600938967136
EU28,2011,989.0,ANI,0.2896046852122987
EU28,2012,980.0,ANI,0.28848984397998234
EU28,2013,978.0,ANI,0.2868876503373423
EU28,2014,978.0,ANI,0.28892171344165435
EU28,2015,993.0,ANI,0.2917156286721504
EU28,2016,994.0,ANI,0.2903885480572597
FI,2000,1170.0,ANI,0.3713106950174548
FI,2001,1172.0,ANI,0.36959949542731
FI,2002,1175.0,ANI,0.3727791878172589
FI,2003,1167.0,ANI,0.37000634115409003
FI,2004,1170.0,ANI,0.3670012547051443
FI,2005,1169.0,ANI,0.3651983755076539
FI,2006,1180.0,ANI,0.36453506333024405
FI,2007,1218.0,ANI,0.3712282840597379
FI,2008,1233.0,ANI,0.3810259579728059
FI,2009,1216.0,ANI,0.3761212496133622
FI,2010,1253.0,ANI,0.3820121951219512
FI,2011,1298.0,ANI,0.39273827534039335
FI,2012,1312.0,ANI,0.39482395425820044
FI,2013,1314.0,ANI,0.39014251781472686
FI,2014,1350.0,ANI,0.4066265060240964
FI,2015,1427.0,ANI,0.42814281428142814
FI,2016,1418.0,ANI,0.4246780473195568
FR,2000,1377.0,ANI,0.38196948682385573
FR,2001,1381.0,ANI,0.3793956043956044
FR,2002,1368.0,ANI,0.3741794310722101
FR,2003,1346.0,ANI,0.3752439364371341
FR,2004,1284.0,ANI,0.36118143459915614
FR,2005,1238.0,ANI,0.3499152063312606
FR,2006,1219.0,ANI,0.34699686877312835
FR,2007,1189.0,ANI,0.3430467397576457
FR,2008,1216.0,ANI,0.3424387496479865
FR,2009,1200.0,ANI,0.33994334277620397
FR,2010,1186.0,ANI,0.3354072398190045
FR,2011,1167.0,ANI,0.33210017074558906
FR,2012,1144.0,ANI,0.330635838150289
FR,2013,1181.0,ANI,0.33917288914417004
FR,2014,1098.0,ANI,0.32189973614775724
FR,2015,1089.0,ANI,0.3122133027522936
FR,2016,1105.0,ANI,0.31285390713476785
HR,2000,540.0,ANI,0.2112676056338028
HR,2001,561.0,ANI,0.20489408327246164
HR,2002,590.0,ANI,0.20921985815602837
HR,2003,581.0,ANI,0.2025801952580195
HR,2004,675.0,ANI,0.22935779816513763
HR,2005,747.0,ANI,0.2506711409395973
HR,2006,821.0,ANI,0.26742671009771984
HR,2007,854.0,ANI,0.2775430614234644
HR,2008,829.0,ANI,0.26664522354454806
HR,2009,788.0,ANI,0.25768476128188356
HR,2010,747.0,ANI,0.25143049478290136
HR,2011,763.0,ANI,0.2545879212545879
HR,2012,821.0,ANI,0.2741235392320534
HR,2013,820.0,ANI,0.2680614579928081
HR,2014,847.0,ANI,0.2845146120255291
HR,2015,875.0,ANI,0.28716770594026914
HR,2016,875.0,ANI,0.2797314578005115
HU,2000,1013.0,ANI,0.3193568726355612
HU,2001,970.0,ANI,0.31351001939237233
HU,2002,1052.0,ANI,0.34211382113821137
HU,2003,958.0,ANI,0.31296961777196997
HU,2004,986.0,ANI,0.30889724310776945
HU,2005,974.0,ANI,0.2978593272171254
HU,2006,962.0,ANI,0.29347162904209884
HU,2007,967.0,ANI,0.3056257901390645
HU,2008,952.0,ANI,0.30231819625277867
HU,2009,933.0,ANI,0.29713375796178343
HU,2010,913.0,ANI,0.29817112998040496
HU,2011,925.0,ANI,0.30189295039164493
HU,2012,923.0,ANI,0.30674642738451313
HU,2013,886.0,ANI,0.2917352650642081
HU,2014,965.0,ANI,0.3102893890675241
HU,2015,1021.0,ANI,0.31688392302917445
HU,2016,1038.0,ANI,0.319286373423562
IE,2000,1193.0,ANI,0.3200965924335927
IE,2001,1217.0,ANI,0.32697474476088123
IE,2002,1168.0,ANI,0.32598381244766955
IE,2003,1194.0,ANI,0.33240534521158127
IE,2004,1189.0,ANI,0.332773579624965
IE,2005,1117.0,ANI,0.32051649928263987
IE,2006,1070.0,ANI,0.30545246931201825
IE,2007,1062.0,ANI,0.30067950169875424
IE,2008,1070.0,ANI,0.29871580122836405
IE,2009,1029.0,ANI,0.28815457854942594
IE,2010,1001.0,ANI,0.2787524366471735
IE,2011,977.0,ANI,0.2713888888888889
IE,2012,962.0,ANI,0.26737076153418565
IE,2013,1004.0,ANI,0.2788888888888889
IE,2014,1022.0,ANI,0.2796934865900383
IE,2015,1076.0,ANI,0.28948076405703527
IE,2016,1026.0,ANI,0.27389215162840364
IT,2000,937.0,ANI,0.2554525627044711
IT,2001,948.0,ANI,0.2582402615091256
IT,2002,959.0,ANI,0.26195028680688337
IT,2003,934.0,ANI,0.2579397956365645
IT,2004,928.0,ANI,0.25592939878654164
IT,2005,928.0,ANI,0.2601626016260163
IT,2006,929.0,ANI,0.2562758620689655
IT,2007,923.0,ANI,0.2551133222775014
IT,2008,933.0,ANI,0.2595271210013908
IT,2009,916.0,ANI,0.25451514309530426
IT,2010,936.0,ANI,0.2612336031258722
IT,2011,916.0,ANI,0.25622377622377623
IT,2012,929.0,ANI,0.25986013986013984
IT,2013,901.0,ANI,0.25174629784856106
IT,2014,860.0,ANI,0.24663034126756525
IT,2015,830.0,ANI,0.23830031581969566
IT,2016,809.0,ANI,0.23300691244239632
LT,2000,780.0,ANI,0.2468354430379747
LT,2001,764.0,ANI,0.2337106148669318
LT,2002,853.0,ANI,0.2603785103785104
LT,2003,885.0,ANI,0.26916058394160586
LT,2004,909.0,ANI,0.2704552216602202
LT,2005,965.0,ANI,0.2786601212821253
LT,2006,969.0,ANI,0.2795729948066936
LT,2007,1002.0,ANI,0.28122368790345215
LT,2008,1055.0,ANI,0.2995457126632595
LT,2009,1022.0,ANI,0.29452449567723343
LT,2010,983.0,ANI,0.29492949294929494
LT,2011,972.0,ANI,0.2851276034027574
LT,2012,963.0,ANI,0.28407079646017697
LT,2013,983.0,ANI,0.28767925080479956
LT,2014,938.0,ANI,0.2769412459403602
LT,2015,932.0,ANI,0.2755765819041987
LT,2016,948.0,ANI,0.27898763978811064
LU,2000,1131.0,ANI,0.32509341764874966
LU,2001,1257.0,ANI,0.36079219288174513
LU,2002,1210.0,ANI,0.34730195177956374
