geo_code,time,value,type
AT,2009,42.4,ene
AT,2010,41.5,ene
AT,2011,42.6,ene
AT,2012,43.0,ene
AT,2013,43.3,ene
AT,2014,43.7,ene
AT,2015,44.3,ene
BE,2009,61.0,ene
BE,2010,61.6,ene
BE,2011,55.1,ene
BE,2012,57.1,ene
BE,2013,57.6,ene
BE,2014,52.1,ene
BE,2015,54.0,ene
BG,2009,64.7,ene
BG,2010,69.1,ene
BG,2011,63.8,ene
BG,2012,64.4,ene
BG,2013,63.3,ene
BG,2014,60.9,ene
BG,2015,62.5,ene
HR,2009,62.8,ene
HR,2010,61.5,ene
HR,2011,59.7,ene
HR,2012,53.1,ene
HR,2013,39.9,ene
HR,2014,45.6,ene
HR,2015,48.4,ene
CY,2009,84.2,ene
CY,2010,87.4,ene
CY,2011,92.1,ene
CY,2012,94.2,ene
CY,2013,95.3,ene
CY,2014,95.4,ene
CY,2015,96.7,ene
CZ,2009,42.7,ene
CZ,2010,40.6,ene
CZ,2011,41.8,ene
CZ,2012,43.4,ene
CZ,2013,46.4,ene
CZ,2014,49.4,ene
CZ,2015,50.7,ene
DK,2009,83.8,ene
DK,2010,86.4,ene
DK,2011,86.7,ene
DK,2012,86.9,ene
DK,2013,87.9,ene
DK,2014,87.5,ene
DK,2015,87.6,ene
EE,2009,52.2,ene
EE,2010,44.4,ene
EE,2011,48.0,ene
EE,2012,47.2,ene
EE,2013,46.2,ene
EE,2014,44.7,ene
EE,2015,40.5,ene
FI,2009,36.4,ene
FI,2010,34.8,ene
FI,2011,36.7,ene
FI,2012,37.8,ene
FI,2013,37.2,ene
FI,2014,36.6,ene
FI,2015,36.5,ene
FR,2009,58.9,ene
FR,2010,55.9,ene
FR,2011,53.8,ene
FR,2012,57.0,ene
FR,2013,59.6,ene
FR,2014,58.1,ene
FR,2015,56.6,ene
DE,2009,42.2,ene
DE,2010,43.9,ene
DE,2011,45.8,ene
DE,2012,47.8,ene
DE,2013,49.1,ene
DE,2014,47.4,ene
DE,2015,46.2,ene
EL,2009,48.9,ene
EL,2010,51.8,ene
EL,2011,59.3,ene
EL,2012,73.4,ene
EL,2013,69.4,ene
EL,2014,65.8,ene
EL,2015,69.6,ene
HU,2009,86.5,ene
HU,2010,76.1,ene
HU,2011,75.0,ene
HU,2012,74.4,ene
HU,2013,78.4,ene
HU,2014,70.8,ene
HU,2015,62.9,ene
IE,2009,22.9,ene
IE,2010,22.1,ene
IE,2011,23.6,ene
IE,2012,33.3,ene
IE,2013,40.1,ene
IE,2014,38.3,ene
IE,2015,38.3,ene
IT,2009,54.1,ene
IT,2010,50.1,ene
IT,2011,49.3,ene
IT,2012,64.6,ene
IT,2013,72.9,ene
IT,2014,76.6,ene
IT,2015,79.8,ene
LV,2009,59.7,ene
LV,2010,53.9,ene
LV,2011,51.3,ene
LV,2012,50.5,ene
LV,2013,57.6,ene
LV,2014,60.9,ene
LV,2015,58.5,ene
LT,2009,49.5,ene
LT,2010,47.7,ene
LT,2011,49.7,ene
LT,2012,51.8,ene
LT,2013,54.2,ene
LT,2014,54.1,ene
LT,2015,57.3,ene
LU,2009,37.4,ene
LU,2010,35.0,ene
LU,2011,33.3,ene
LU,2012,35.0,ene
LU,2013,38.6,ene
LU,2014,35.8,ene
LU,2015,33.2,ene
MT,2009,100.0,ene
MT,2010,100.0,ene
MT,2011,100.0,ene
MT,2012,100.0,ene
MT,2013,100.0,ene
MT,2014,100.0,ene
MT,2015,100.0,ene
NL,2009,84.3,ene
NL,2010,83.0,ene
NL,2011,85.3,ene
NL,2012,78.2,ene
NL,2013,79.1,ene
NL,2014,77.9,ene
NL,2015,80.1,ene
PL,2009,31.5,ene
PL,2010,31.7,ene
PL,2011,30.8,ene
PL,2012,31.1,ene
PL,2013,27.6,ene
PL,2014,26.0,ene
PL,2015,26.1,ene
PT,2009,14.2,ene
PT,2010,19.9,ene
PT,2011,13.7,ene
PT,2012,13.6,ene
PT,2013,38.5,ene
PT,2014,37.8,ene
PT,2015,39.0,ene
RO,2009,73.0,ene
RO,2010,71.1,ene
RO,2011,67.0,ene
RO,2012,63.6,ene
RO,2013,61.3,ene
