Year,Country,Country (Code),Attribute,Attribute (Code),Sector (NACE rev. 2),Sector (NACE rev. 2) (Code),Unit,Value
2017,Denmark,DK,Number of persons employed,V16110,Rubber and bio-based plastics,bC22,Number of people employed,100.68624896490422
2017,Denmark,DK,Number of persons employed,V16110,Tobacco,C12,Number of people employed,333
2017,Denmark,DK,Number of persons employed,V16110,Total sectors,TOT_NACER2,Number of people employed,2788500
2017,Denmark,DK,Number of persons employed,V16110,Wood products,bC16,Number of people employed,8240
2017,Denmark,DK,Number of persons employed,V16110,Wood products and furniture,bC16-bC31,Number of people employed,13175.651387193537
2017,Denmark,DK,Number of persons employed,V16110,Wooden furniture,bC31,Number of people employed,4935.651387193537
2017,Denmark,DK,Turnover,V12110,Agriculture,A01,Million euros,10320.1
2017,Denmark,DK,Turnover,V12110,Beverage,C11,Million euros,1001.7
2017,Denmark,DK,Turnover,V12110,Bio-based chemicals (excluding biofuels),bchem,Million euros,1033.0572173311373
2017,Denmark,DK,Turnover,V12110,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Million euros,7111.196417126977
2017,Denmark,DK,Turnover,V12110,Bio-based electricity,bD3511,Million euros,1265.3729541670823
2017,Denmark,DK,Turnover,V12110,Bio-based pharmaceuticals,bC21,Million euros,6057.9377731536015
2017,Denmark,DK,Turnover,V12110,Bio-based textile,bC13,Million euros,208.52582387509773
2017,Denmark,DK,Turnover,V12110,Bio-based textiles,bTEXT,Million euros,366.59761320511814
2017,Denmark,DK,Turnover,V12110,Bio-based wearing apparel,bC14,Million euros,126.3467893300204
2017,Denmark,DK,Turnover,V12110,Biodiesel,Biod,Million euros,94.32489625972413
2017,Denmark,DK,Turnover,V12110,Bioeconomy,bTOTC,Million euros,52188.71264791398
2017,Denmark,DK,Turnover,V12110,Fishing and Aquaculture,A03,Million euros,695.8
2017,Denmark,DK,Turnover,V12110,Food,C10,Million euros,25764.3
2017,Denmark,DK,Turnover,V12110,"Food, beverage and tobacco",C10-12,Million euros,27918.4
2017,Denmark,DK,Turnover,V12110,Forestry,A02,Million euros,654.2
2017,Denmark,DK,Turnover,V12110,Leather,bC15,Million euros,31.725
2017,Denmark,DK,Turnover,V12110,Liquid biofuels,bFUEL,Million euros,94.32489625972413
2017,Denmark,DK,Turnover,V12110,Paper,bC17,Million euros,1172.0625
2017,Denmark,DK,Turnover,V12110,Rubber and bio-based plastics,bC22,Million euros,20.201426642238765
2017,Denmark,DK,Turnover,V12110,Tobacco,C12,Million euros,1152.4
2017,Denmark,DK,Turnover,V12110,Wood products,bC16,Million euros,1586.1999999999996
2017,Denmark,DK,Turnover,V12110,Wood products and furniture,bC16-bC31,Million euros,2590.6582671550814
2017,Denmark,DK,Turnover,V12110,Wooden furniture,bC31,Million euros,1004.4582671550819
